stock_id,name,eps_Y,eps_Y_quarters,eps_ttm,eps_yoy,roe_last_year,roe_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_ttm,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,roe_status,roe_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
0056,元大高股息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,2026-09-10 13:30:02,partial_ok,"no_data:eps,roe,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:30:09
00662,富邦NASDAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,2026-09-10 13:30:10,partial_ok,"no_data:eps,roe,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:30:18
00878,國泰永續高股息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,2026-09-10 13:30:18,partial_ok,"no_data:eps,roe,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:30:24
00892,富邦台灣半導體,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,2026-09-10 13:30:24,partial_ok,"no_data:eps,roe,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:30:32
00919,群益台灣精選高息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,2026-09-10 13:30:32,partial_ok,"no_data:eps,roe,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:30:37
00941,中信上游半導體,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,2026-09-10 13:30:38,partial_ok,"no_data:eps,roe,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,4365,6000,1635,2026-09-10 13:30:50
1101,台泥,0.39,2,-1.29,-227.72,-4.94,-3.84,13.52,-1.66,7.16,10.65,17.79,-0.93,2.67,6.24,-2.18,3.09,8.83,5.2,6.76,,0.0,0.0,0.0,0.8,0.85,0.72,,,False,False,False,False,False,False,False,2026-09-10 12:12:09,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:14
1216,統一,2.56,2,4.14,18.29,23.04,27.83,63.1,1.5,6.63,3.79,33.98,0.2,0.18,5.86,0.0,-0.22,6.44,0.86,1.25,,18.26,21.7,17.63,3.15,3.26,2.72,,,False,False,False,False,False,False,False,2026-09-10 12:12:15,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:19
1301,台塑,2.18,2,1.64,211.56,-3.08,2.48,13.99,-8.51,-6.41,6.79,12.65,8.95,9.15,6.09,9.19,9.53,22.54,14.75,37.14,,40.0,41.34,0.0,0.73,1.08,0.62,,,False,False,False,False,False,False,False,2026-09-10 12:12:19,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:22
1303,南亞,5.17,2,6.2,1612.2,1.44,12.86,30.6,0.09,6.14,46.75,18.92,6.98,10.28,13.58,8.13,11.6,32.94,11.55,39.34,,39.35,164.56,29.03,4.05,4.7,1.67,,,False,False,False,False,False,False,False,2026-09-10 12:12:22,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:25
1319,東陽,2.98,2,6.16,-10.85,14.02,13.81,1.95,-4.39,5.35,7.4,32.53,0.02,-0.5,15.76,0.0,-1.79,14.21,-2.52,6.0,,12.73,19.21,11.73,1.72,2.17,1.42,,,False,False,False,False,False,False,False,2026-09-10 12:12:25,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:29
1326,台化,2.11,2,2.36,234.09,-1.87,3.79,30.56,-2.27,11.58,31.7,6.34,-1.4,5.47,2.22,-1.6,5.65,7.48,-0.51,17.09,,30.21,478.0,0.0,0.8,1.12,0.64,,,False,False,False,False,False,False,False,2026-09-10 12:12:29,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:32
1402,遠東新,1.15,2,2.04,23.64,7.3,8.99,23.37,1.94,2.09,20.58,19.82,-2.08,-0.1,7.54,-0.45,1.5,7.77,-1.29,2.58,,14.84,18.32,14.04,0.66,0.7,0.53,,,False,False,False,False,False,False,False,2026-09-10 12:12:33,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:37
1503,士電,5.04,2,7.26,16.16,9.15,10.51,2.97,-4.42,-12.72,15.1,22.17,-1.6,-0.69,13.27,-2.78,0.04,12.67,-0.44,2.25,,28.24,39.94,26.97,2.76,3.68,2.48,,,False,False,False,False,False,False,False,2026-09-10 12:12:37,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:40
1504,東元,1.63,2,2.82,7.22,6.73,8.23,5.41,-2.18,-4.88,16.83,25.15,1.68,1.67,10.52,2.24,1.05,16.33,7.63,6.2,,25.58,38.67,24.38,1.72,2.43,1.64,,,False,False,False,False,False,False,False,2026-09-10 12:12:40,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:43
1513,中興電,4.5,2,8.89,22.45,20.1,22.32,2.5,3.82,4.62,8.93,28.44,2.46,3.76,20.05,1.51,2.87,16.9,2.11,3.62,,18.62,22.72,17.86,3.93,4.29,3.37,,,False,False,False,False,False,False,False,2026-09-10 12:12:44,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:47
1514,亞力,1.64,2,3.64,32.85,15.0,16.67,0.77,-13.56,-3.26,-26.52,20.81,3.27,2.56,11.16,2.8,1.86,8.95,1.02,1.55,,27.95,43.59,26.82,4.39,6.19,3.81,,,False,False,False,False,False,False,False,2026-09-10 12:12:47,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:50
1519,華城,6.52,2,15.28,0.33,45.34,56.22,2.05,18.51,-8.85,-8.32,43.5,-0.11,3.13,22.11,0.91,-2.61,18.26,-3.1,5.38,,46.99,65.83,44.88,24.64,35.85,24.37,,,False,False,False,False,False,False,False,2026-09-10 12:12:50,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:54
1532,勤美,0.1,2,1.22,284.85,4.78,5.7,1.69,35.57,38.68,-42.64,22.92,1.32,-3.51,5.5,4.02,-1.41,3.38,4.11,-0.15,,18.5,21.01,17.44,0.63,0.67,0.56,,,False,False,False,False,False,False,False,2026-09-10 12:12:54,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:12:57
1560,中砂,6.43,2,11.93,62.09,18.28,22.25,0.9,1.44,8.42,30.38,40.05,5.05,7.91,24.22,4.84,7.57,21.49,2.21,8.21,,62.33,75.84,57.4,12.1,13.9,10.34,,,False,False,False,False,False,False,False,2026-09-10 12:12:58,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:01
1590,亞德客-KY,29.9,2,52.04,38.63,16.72,21.07,3.71,-7.18,-5.16,43.33,49.72,1.75,3.71,35.06,1.86,4.55,27.22,0.55,4.47,,25.07,36.9,25.07,4.76,6.27,4.76,,,False,False,False,False,False,False,False,2026-09-10 12:13:02,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:05
1605,華新,2.85,2,3.31,1339.13,1.54,8.2,14.43,-8.18,-17.36,14.97,7.56,-0.21,0.27,1.46,0.13,0.39,18.13,9.61,17.34,,11.45,49.79,10.57,0.82,1.15,0.76,,,False,False,False,False,False,False,False,2026-09-10 12:13:05,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:09
1727,中華化,0.66,2,0.69,137.93,0.25,4.26,0.26,9.09,12.94,62.67,17.77,-0.18,5.47,9.45,1.14,7.94,7.65,0.74,6.09,,131.01,2000.0,108.84,5.36,6.34,3.78,,,False,False,False,False,False,False,False,2026-09-10 12:13:09,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:12
1802,台玻,0.64,2,0.87,204.82,-1.47,5.3,4.59,0.24,17.16,32.59,23.33,4.1,13.33,12.64,4.76,13.9,10.76,5.05,19.6,,69.3,589.23,0.0,3.35,4.48,2.49,,,False,False,False,False,False,False,False,2026-09-10 12:13:12,ok,,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,0,6000,6000,2026-09-10 12:13:16
