stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,short_margin_ratio_pct,short_margin_ratio_pct_t0,short_margin_ratio_pct_t1,short_margin_ratio_pct_t2,short_margin_ratio_score,margin_cost_line,margin_cost_line_t0,margin_cost_line_t1,margin_cost_line_t2,margin_cost_status,margin_purchase_change,margin_purchase_change_t0,margin_purchase_change_t1,margin_purchase_change_t2,margin_purchase_change_score,short_sale_change,short_sale_change_t0,short_sale_change_t1,short_sale_change_t2,short_sale_change_score,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,foreign_investor_net,foreign_investor_net_t0,foreign_investor_net_t1,foreign_investor_net_t2,foreign_investor_net_score,investment_trust_net,investment_trust_net_t0,investment_trust_net_t1,investment_trust_net_t2,investment_trust_net_score,dealer_net,dealer_net_t0,dealer_net_t1,dealer_net_t2,dealer_net_score,institutional_total_net,institutional_total_net_t0,institutional_total_net_t1,institutional_total_net_t2,institutional_total_net_score,main_force_net_5d,total_volume_5d,main_force_buy_rate_5d_pct,chip_concentration_avg_5d,chip_concentration_change_5d,broker_diff_avg_5d,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
0056,元大高股息,3,15.0,2026-09-10,3,6.26,6.26,6.68,6.72,-0.5,51.85,51.85,51.85,51.8,ok,-59,-59,20,13,0,-18,-18,0,-2,0,-1.13,-1.13,13.13,-5.78,2026-09-10,2026-09-09,2026-09-08,0,-164,-164,2082,-1001,-0.5,118,118,55,84,1,-654,-654,1062,-897,0,90,90,0,390,0,-121,-121,1249,-1426,0,-685,-685,2311,-1933,0,17236,95065,18.13,14.28,-37.53,54.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:46
00662,富邦NASDAQ,3,15.0,2026-09-10,3,0.06,0.06,0.06,0.06,0,115.92,115.92,115.92,115.92,ok,-2,-2,1,-4,0,0,0,0,1,-0.5,-14.1,-14.1,-41.25,-9.01,2026-09-10,2026-09-09,2026-09-08,-0.5,-288,-288,-976,-203,-1,341,341,331,198,1,323,323,-167,121,0,0,0,79,0,0,-896,-896,-1494,-492,0,-573,-573,-1582,-371,0,-2059,12249,-16.81,-13.48,-34.46,223.2,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-10 12:50:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:45
00878,國泰永續高股息,3,15.0,2026-09-10,3,3.03,3.03,2.95,2.83,0.5,32.54,32.54,32.54,32.52,ok,-66,-66,-217,-213,0,1,1,-2,-32,1,13.5,13.5,24.34,-30.27,2026-09-10,2026-09-09,2026-09-08,0,3351,3351,5757,-10672,0.5,116,116,22,143,1,-484,-484,1088,-6960,0,0,0,0,-100,0.5,3965,3965,6678,-6574,0,3481,3481,7766,-13634,0,46941,188121,24.95,18.82,-36.5,36.6,neutral,籌碼震盪，方向未定,2026-09-10 12:50:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:46
00892,富邦台灣半導體,3,15.0,2026-09-10,3,0.72,0.72,1.43,1.1,0,40.08,40.08,40.08,40.05,ok,-14,-14,-56,-21,0,-8,-8,3,2,0,-4.57,-4.57,7.44,21.93,2026-09-10,2026-09-09,2026-09-08,0.5,-123,-123,349,1252,0.5,116,116,4,-153,0.5,-11,-11,-104,365,0,0,0,0,0,0,-201,-201,536,1081,-1,-212,-212,432,1446,-1,3464,22002,15.74,11.82,-10.04,-51.0,neutral,籌碼震盪，方向未定,2026-09-10 12:50:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:45
00919,群益台灣精選高息,3,15.0,2026-09-10,3,0.0,0.0,0.04,0.33,-0.5,31.77,31.77,31.77,31.7,ok,96,96,1099,911,0,-6,-6,-46,-4,0,-56.02,-56.02,-57.16,-56.54,2026-09-10,2026-09-09,2026-09-08,-1,-49907,-49907,-73275,-60479,-1,150,150,110,114,1,2562,2562,-3932,-2494,0,-100,-100,-1800,0,0,-62039,-62039,-82404,-74283,0,-59577,-59577,-88136,-76777,0,-277890,565002,-49.18,-46.03,-50.02,95.2,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-09-10 12:50:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:47
00941,中信上游半導體,3,15.0,2026-09-10,3,0.0,0.0,0.0,0.0,0,27.18,27.18,27.18,27.18,ok,-5,-5,-10,-3,0,0,0,0,0,0,6.6,6.6,7.12,16.01,2026-09-10,2026-09-09,2026-09-08,0.5,35,35,78,301,1,82,82,17,-37,0.5,-11,-11,-106,43,0,0,0,0,0,0,284,284,84,-771,1,273,273,-22,-728,1,1010,4693,21.52,17.52,-27.03,8.8,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-09-10 12:50:39,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:45
1101,台泥,3,15.0,2026-09-10,3,0.16,0.16,0.15,0.07,0.5,24.32,24.32,24.32,24.29,ok,-531,-531,-1063,373,0,2,2,29,-20,0,19.88,19.88,28.28,-20.74,2026-09-10,2026-09-09,2026-09-08,0.5,4031,4031,9535,-3470,0.5,-70,-70,-112,193,-0.5,6800,6800,17400,-1522,0,226,226,100,46,1,68,68,107,-1263,0,7094,7094,17607,-2739,0,1151,109078,1.06,-7.23,44.46,91.2,neutral,籌碼震盪，方向未定,2026-09-10 12:50:45,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:52
1216,統一,3,15.0,2026-09-10,3,0.0,0.0,0.0,0.0,0,75.8,75.8,75.8,75.76,ok,,,129,-296,1,,,0,-1,1,-5.99,-5.99,-9.73,25.83,2026-09-10,2026-09-09,2026-09-08,0.5,-557,-557,-830,3267,-0.5,224,224,272,-281,0.5,787,787,-243,6185,0,-26,-26,-81,-9,0,-122,-122,-149,-69,0,639,639,-473,6107,0,-688,43118,-1.6,-6.89,8.1,172.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:45,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:52
1301,台塑,3,15.0,2026-09-10,3,4.94,4.94,5.82,5.22,0,63.39,63.39,63.39,63.3,ok,447,447,-192,-784,1,-129,-129,93,-57,0,-34.73,-34.73,27.89,-28.3,2026-09-10,2026-09-09,2026-09-08,-0.5,-7640,-7640,7509,-7992,-0.5,159,159,-68,141,0.5,-3660,-3660,12839,4555,0,-1,-1,0,0,-0.5,-1026,-1026,-55,-1009,0,-4687,-4687,12784,3546,0,-7161,133566,-5.36,-7.69,-23.19,50.4,neutral,籌碼震盪，方向未定,2026-09-10 12:50:46,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:53
1303,南亞,3,15.0,2026-09-10,3,5.46,5.46,5.13,4.86,0.5,223.22,223.22,223.22,221.69,ok,288,288,70,1304,0,150,150,115,87,1,14.85,14.85,-5.5,6.5,2026-09-10,2026-09-09,2026-09-08,0,8834,8834,-3721,4238,0.5,-2,-2,6,2,0.5,7356,7356,-3926,-857,0,2065,2065,132,4349,0,-30,-30,133,-719,0,9391,9391,-3661,2773,0,7776,335518,2.32,2.67,19.81,0.0,neutral,籌碼震盪，方向未定,2026-09-10 12:50:46,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,5828,6000,172,2026-09-10 12:50:54
