stock_id,name,新聞
1101,台泥,0728：台泥赴歐洲上市計畫正式啟動 8月將提董事會審議 - TVBS新聞網；0728：個股：台泥(1101)啟動歐洲上市計畫，8月提請董事會審議 - 東森電視；0728：1101 台泥 - 不錯不錯，很撐哦~~~~ - 股市爆料同學會 - CMoney；0728：【11:29 即時新聞】臺泥(1…
1216,統一,0729：【12:19 即時新聞】統一(1216)股價小跌至77.2元，外資賣壓鈍化下投信與官股護盤續航＋中長期均線偏多結構不變 - CMoney投資網誌；0729：【12:19 即時新聞】統一(1216)股價小跌至77.2元，外資賣壓鈍化下投信與官股護盤續航＋中長期均線偏多結構不變 - CMon…
1319,東陽,0728：東陽(1319) 個股概覽 | 個股 - 股市 - CMoney；0727：油電為王、純電退潮，2026 美歐車市集體大轉向，東陽(1319)、巧新(1563)、智伸科(4551)六檔台股受惠股出列｜產業熱話 - sinotrade.com.tw；0724：東陽下半年AM業務回穩，七股新…
1326,台化,0728：討論牆 | 盤中速報 - 台化(1326)大跌7.11%，報62.7元 - LINE TODAY；0727：盤中速報 - 台化(1326)大跌7.11%，報62.7元 - TradingView；0727：台苯(1310)股價跌停鎖死！停產風暴嚇壞10萬股民，台塑化、台聚、台化…塑化股跟…
1476,儒鴻,0729：儒鴻(1476) 個股概覽 | 個股 - 股市 - CMoney；0728：儒鴻(1476)走強站穩月線，340到350元關卡接下來看什麼？-蔡昀庭 - CMoney投資網誌；0727：【12:19 即時新聞】儒鴻(1476)股價小幅走強至341元，營收創近四年新高延續多方期待＋外資與主…
1503,士電,0724：士電(1503) 個股概覽 | 個股 - 股市 - CMoney；0720：【12:05 即時新聞】士電(1503)股價上漲至200元、漲幅3.09%，受電力吃緊＋AI重電題材支撐，高檔修正後短線買盤回補 - CMoney投資網誌；0718：討論牆 | 盤後速報 - 士電(1503)下週…
1513,中興電,0726：熱門股》輝達喊要能源 中興電亮燈 - 自由時報；0721：中興電(1513) 個股概覽 | 個股 - 股市 - CMoney；0720：中研院核能三前提，AI電力潮下中興電 (1513) 關鍵數據是？-梁文謙 - CMoney投資網誌；0716：【07/16券商評等報告彙整】中興電(15…
1514,亞力,0729：亞力三利多 訂單破130億至2029年 - 台灣好新聞；0721：半導體題材升溫，亞力為何開始被重新估價？ - CMoney；0720：個股：亞力(1514)本季爭取半導體相關專案新訂單，上半年每股盈餘挑戰1.5元 - 東森電視；0716：1514 亞力 - 夜盤又大跌了，看來明天亞力也…
1519,華城,0729：華城(1519) 個股概覽 | 個股 - 股市 - CMoney；0727：【11:59 即時新聞】華城(1519)股價小幅走強至711元，臺電強韌電網與美國AIDC訂單題材支撐＋中長期評價偏高下技術面偏空反彈 - CMoney投資網誌；0726：2035半導體吃掉1/3電力，華城 (1…
1532,勤美,0716：個股：勤美(1532)每股含息0.8元，訂115/7/31除息交易，8/18發放 - 富聯網；0712：營收：勤美(1532)6月營收13億0535萬元，月增率7.17%，年增率20.39% - 富聯網；0710：【2026/06月營收公告】勤美(1532) 六月營收13.05億元，表現…
1560,中砂,0729：中砂(1560) 個股概覽 | 個股 - 股市 - CMoney；0727：【12:39 即時新聞】中砂(1560)股價走強至698元，上漲3.87%，臺積電擴產題材加持＋月營收連創新高吸引買盤關注 - CMoney投資網誌；0727：矽晶圓漲勢退燒？「這檔」苦陷連10跌、台勝科、嘉晶跌…
1597,直得,0728：直得線性馬達訂單看到年底，人力成出貨瓶頸- 新聞 - MoneyDJ；0728：直得上半年EPS估超越去年全年，線馬佔比達11% - MoneyDJ；0728：AI+半導體訂單塞爆！這些「工具機大廠」迎爆單潮 上銀、直得、全球傳動一路接到年底 - FTNN 新聞；0726：直得S0六軸機…
1727,中華化,"0729：中華化(1727) 個股概覽 | 個股 - 股市 - CMoney；0728：盤中速報 - 中華化(1727)大跌7.11%，報70.6元 - news.cnyes.com；0720：討論牆 | 盤中速報 - 中華化(1727)股價殺至跌停，跌停價81.9元，成交2,640張 - LIN…"
1760,寶齡富錦,0729：寶齡富錦(1760) 個股概覽 | 個股 - 股市 - CMoney；0724：企業生日快樂／寶齡富錦研發多功能試劑 預防醫學新利器 - 經濟日報；0724：企業生日快樂／寶齡富錦 從醫院走向家庭 - 經濟日報；0724：企業生日快樂／寶齡富錦 從醫院走向家庭 - UDN；0722：寶齡…
1802,台玻,0729：1802 台玻 - 題材還在，只是錢套著...然後沒有再多的閒錢能持續買便宜的價... - 股市爆料同學會 - CMoney；0729：台股4萬點守住了！數位雲端逆風上漲2.24% 台玻、中釉挫逾半根領跌玻璃族群 - FTNN 新聞；0728：1802 台玻 - 明天再一根嗎？還是這裡吧…
2049,上銀,0729：機器人概念股綠油油！上銀、亞德客營收報喜也挫逾2% 「這7檔」盤中摜至跌停 - FTNN 新聞；0728：AI+半導體訂單塞爆！這些「工具機大廠」迎爆單潮 上銀、直得、全球傳動一路接到年底 - FTNN 新聞；0728：上銀義大利子公司資訊系統遭駭客攻擊 對營運無重大影響 - news.…
2059,川湖,0729：討論牆| 鉅亨速報- Factset 最新調查：川湖(2059-TW)EPS預估上修至239.41元，預估目標價為9000元 - LINE TODAY；0728：川湖(2059)獲主動資金加碼，AI硬體行情能撐多久，關鍵看雲端支出-王澤明 - CMoney投資網誌；0728：信驊、川湖 …
2233,宇隆,0728：《汽車股》宇隆 8月5日召開第2季財報董事會 - 富聯網；0723：討論牆 | 盤中速報 - 宇隆(2233)大跌7.32%，報202.5元 - LINE TODAY；0720：熱門股》卡位人形機器人 宇隆漲停挑戰新高 - 自由時報；0715：討論牆 | 盤中速報 - 宇隆(2233)大…
2301,光寶科,0727：股東會速報》光寶科︰矽光子2028年貢獻營收 - 自由時報；0725：光寶科兆豐65購01 聚光 - 經濟日報；0724：光寶科AI相關營收佔比近3成，德州斥資9億美元擴產 - 台視全球資訊網；0723：光寶科AI電源/液冷出貨升溫，德州擴廠迎需求 - 台視全球資訊網；0723：光寶科 …
2303,聯電,0729：智原攜聯電/Intel，盼明年下半年攻12奈米- 新聞 - MoneyDJ；0729：聯電法說會時間就在今天！股價殺4成探百元關卡、外資終止連3買轉賣看到什麼？暴跌背後沒這麼悲觀？ - 今周刊；0729：【即時新聞】聯電(2303)法說前下殺跌停！這「5檔概念股」賣壓同步湧現？ - CM…
2308,台達電,0729：《電零組》注意股：台達電 近5日跌13.90% - 富聯網；0729：《台北股市》注意股：29日43檔聯發科.台達電.台光電.金像電.南電等- 上市櫃 - 旺得富理財網；0729：最慘不是聯發科！「這1檔」6天重挫45%、穎崴價差720元 南電、台達電...32檔注意股曝光 - Yaho…
2313,華通,0728：盤中速報 - 華通(2313)大跌7.27%，報185元 - news.cnyes.com；0728：盤中速報 - 華通(2313)大跌7.27%，報185元 - 鉅亨網；0728：2313 華通- 台股槓桿危機專家提警訊- 股市爆料同學會 - CMoney；0728：《電零組》華通現金…
2317,鴻海,0729：7100元申購抽抽樂開跑！「鴻海小金雞」啟動增資 高達5100個機會抽起來 - Yahoo股市；0729：台股急殺下鴻海 (2317) 為何抗空？關鍵數據藏多方線索-周哲翰 - CMoney投資網誌；0729：焦點股》鴻海：無懼大盤烙賽 率領老AI撐盤 - 自由時報；0729：鴻海目標價…
2327,國巨*,0729：焦點股》國巨*：法說會未開 股價先躺平 - 自由時報；0729：國巨(2327)又跌停！股價1220➝507元是被錯殺？陳泰銘身價蒸發134戶陶朱隱園...老手點出暴跌4原因「重返千金股看1指標」 - 今周刊；0728：焦點股》國巨*：暴力洗籌碼 法說會前先躺平 - 自由財經；0728：…
2330,台積電,0729：台積電（2330）＆崇越（5434）｜熊本震後的曝險分歧｜豐雲學堂 2026 年 07 月 - sinotrade.com.tw；0729：台積電拉回平盤震盪 台股跌175點後翻紅 - ETtoday財經雲；0729：熊本地震衝擊 台積電盤中跌20元至2260元 - Yahoo股市；07…
2344,華邦電,0729：綠油油！台股開盤暴跌逾千點失守4萬1 南亞科、華邦電連兩天跌停 - 台視新聞網；0729：台股跳水破4萬1大洗牌！記憶體爆逃命潮「33檔慘跌停」 旺宏、華邦電挨刀華新科、禾伸堂也倒一片 - FTNN 新聞；0729：記憶體又躺平...旺宏慘變法會 華邦電南亞科連吞跌停 分析師：斷頭賣壓正…
2345,智邦,0729：《通網股》智邦8月6日董事會 提報Q2財報 - 富聯網；0727：Spectrum-6掀AI軍備賽，智邦 (2345) 關鍵數據藏哪裡？-周哲翰 - CMoney投資網誌；0726：智邦、金像電 四檔靚 - 經濟日報；0726：智邦、金像電 四檔靚 - UDN；0723：2345 智邦 …
2353,宏碁,0729：台灣玉山科技協會下屆理事長 宏碁施宣輝接棒呼聲高 - UDN；0727：宏碁今年第2季於泛歐 Chromebook市占率位居第一 - UDN；0727：宏碁今年第2季於泛歐 Chromebook市占率位居第一 - udn；0727：宏碁今年第2季於泛歐 Chromebook 市占率位居第…
2357,華碩,0729：華碩AI伺服器動能向上，今、明年獲利看增- 新聞 - MoneyDJ；0729：PC五虎大反攻！緯創一小時爆量百億元 領華碩仁寶英業達齊漲4% - Yahoo股市；0729：【10:43 即時新聞】華碩(2357)股價逆勢上漲至751元，AI PC＋伺服器題材撐盤，搭配中長期多頭均線結構…
2360,致茂,0728：《證交所》今日單一證券鉅額成交股票：國巨*、台積電、致茂(2-1) - 富聯網；0728：致茂(2360) 個股概覽 | 個股 - 股市 - CMoney；0726：致茂搭上CPO列車外資喊買- 日報 - 工商時報；0726：致茂搭上CPO列車 外資喊買 - 中時新聞網；0724：【07…
2368,金像電,0729：《台北股市》注意股：29日43檔聯發科.台達電.台光電.金像電.南電等- 上市櫃 - 旺得富理財網；0729：Celestica（CLS）｜2027營收上修逾65%，台股供應鏈貿聯(3665 TT)、台光電(2383 TT)、金像電(2368 TT)同步受惠 - sinotrade.co…
2375,凱美,"0724：討論牆 | 盤中速報 - 凱美(2375)大跌7.02%，報132.5元 - LINE TODAY；0722：討論牆 | 盤中速報 - 凱美(2375)急跌-4.14%報138.0元，成交1,485張 - LINE TODAY；0721：【07/21 產業即時新聞】鋁質電容族群盤中震盪，…"
