Ticker	Name	自選分類
0056	元大高股息	ETF
00878	國泰永續高股息	ETF
00892	富邦台灣半導體	ETF
00919	群益台灣精選高息	ETF
00941	中信上游半導體	ETF
1101	台泥	_留意賣
1216	統一	_留意賣
1319	東陽	_留意賣
1326	台化	_留意賣
1476	儒鴻	璞玉
1503	士電	璞玉;電力重電
1513	中興電	電力重電
1514	亞力	電力重電
1519	華城	燕俐1;電力重電
1532	勤美	_留意賣
1560	中砂	台積電大聯盟;璞玉;蜀芳;謝金河
1597	直得	璞玉
1727	中華化	燕俐1;蜀芳
1760	寶齡富錦	璞玉
1802	台玻	燕俐1
2049	上銀	璞玉
2059	川湖	杜金龍;謝金河;陳昆仁
2233	宇隆	燕俐1
2301	光寶科	燕俐1;陳昆仁;電力重電
2303	聯電	杜金龍;燕俐1;陳昆仁
2308	台達電	_留意賣;散熱;蔡明翰;謝金河;陳昆仁;電力重電
2313	華通	ABF載板;_留意賣;低軌衛星;再鑽;燕俐1
2317	鴻海	_留意賣;再鑽
2327	國巨*	_留意賣;燕俐1;被動元件及石英;陳昆仁
2330	台積電	COUPE;_留意賣;陳昆仁;陳重銘
2344	華邦電	蔡明翰
2345	智邦	燕俐1;蔡明翰
2353	宏碁	蔡明翰
2357	華碩	蔡明翰
2360	致茂	_留意賣;再鑽;謝金河
2368	金像電	ABF載板;燕俐1;蔡明翰;蜀芳;謝金河
2375	凱美	被動元件及石英
2377	微星	蔡明翰
2382	廣達	再鑽;蔡明翰
2383	台光電	CCL;低軌衛星;蔡明翰;蜀芳;謝金河
2402	毅嘉	蜀芳
2404	漢唐	再鑽;台積電大聯盟;謝金河
2408	南亞科	杜金龍;蔡明翰;蜀芳;陳昆仁
2449	京元電子	_留意賣;再鑽;燕俐1
2454	聯發科	ASIC;_留意賣;再鑽;蔡明翰;蜀芳;謝金河
2455	全新	COUPE;矽光子
2467	志聖	台積電大聯盟;蔡明翰;蜀芳;謝金河
2472	立隆電	被動元件及石英
2478	大毅	被動元件及石英
2481	強茂	蜀芳
2484	希華	被動元件及石英
2486	一詮	散熱;蜀芳
2492	華新科	被動元件及石英
2881	富邦金	_留意賣;杜金龍
2885	元大金	_留意賣
2891	中信金	_留意賣
2912	統一超	璞玉
3008	大立光	杜金龍;蔡明翰;蜀芳
3013	晟銘電	燕俐1;璞玉
3017	奇鋐	_留意賣;再鑽;散熱;蔡明翰;蜀芳;陳重銘
3023	信邦	璞玉
3026	禾伸堂	被動元件及石英
3035	智原	燕俐1;璞玉
3037	欣興	ABF載板;杜金龍;燕俐1;蜀芳;陳昆仁
3042	晶技	璞玉;被動元件及石英
3044	健鼎	燕俐1;謝金河
3081	聯亞	COUPE;矽光子;蜀芳;陳昆仁
3090	日電貿	被動元件及石英
3105	穩懋	低軌衛星;蔡明翰
3131	弘塑	_留意賣;再鑽;台積電大聯盟;燕俐1;謝金河
3163	波若威	COUPE;矽光子;蜀芳
3167	大量	蜀芳
3189	景碩	ABF載板;燕俐1;蜀芳;陳昆仁
3211	順達	陳昆仁
3221	台嘉碩	被動元件及石英
3231	緯創	再鑽;蔡明翰;謝金河
3234	光環	矽光子
3236	千如	被動元件及石英
3264	欣銓	燕俐1
3265	台星科	燕俐1
3289	宜特	矽光子
3324	雙鴻	_留意賣;再鑽;散熱;蔡明翰
3357	臺慶科	被動元件及石英
3363	上詮	COUPE;燕俐1;矽光子
3374	精材	COUPE;台積電大聯盟;謝金河
3376	新日興	_留意賣
3443	創意	ASIC;_留意賣;再鑽;台積電大聯盟;燕俐1;蔡明翰;謝金河
3450	聯鈞	COUPE;燕俐1;矽光子
3481	群創	杜金龍
3491	昇達科	_留意賣;低軌衛星;再鑽;蔡明翰
3529	力旺	燕俐1
3533	嘉澤	燕俐1
3563	牧德	蜀芳
3583	辛耘	台積電大聯盟;燕俐1
3587	閎康	矽光子
3605	宏致	蜀芳
3645	達邁	蜀芳
3653	健策	_留意賣;再鑽;散熱;燕俐1;蜀芳;陳昆仁
3661	世芯-KY	ASIC;_留意賣;燕俐1;蜀芳
3665	貿聯-KY	再鑽;燕俐1;謝金河;電力重電
3680	家登	再鑽;台積電大聯盟
3701	大眾控	矽光子
3711	日月光投控	燕俐1
3715	定穎投控	燕俐1;蜀芳
4749	新應材	再鑽;燕俐1;謝金河
4772	台特化	謝金河
4931	新盛力	陳昆仁
4958	臻鼎-KY	ABF載板;燕俐1;蜀芳;陳昆仁
4971	IET-KY	矽光子
4977	眾達-KY	矽光子
4979	華星光	COUPE;矽光子;蜀芳;陳昆仁
4991	環宇-KY	矽光子;蜀芳
5246	勵威	探針卡
5274	信驊	杜金龍;燕俐2
5285	界霖	被動元件及石英
5289	宜鼎	燕俐2
5347	世界	台積電大聯盟;謝金河
5443	均豪	台積電大聯盟;謝金河
5536	聖暉*	台積電大聯盟
5871	中租-KY	_留意賣
6005	群益證	璞玉
6139	亞翔	台積電大聯盟
6174	安碁	被動元件及石英
6187	萬潤	台積電大聯盟;燕俐2;矽光子;陳重銘
6196	帆宣	台積電大聯盟;謝金河
6197	佳必琪	璞玉
6213	聯茂	CCL;再鑽;蔡明翰;蜀芳;陳昆仁
6217	中探針	探針卡
6223	旺矽	探針卡
6239	力成	陳昆仁
6243	迅杰	電力重電
6257	矽格	燕俐2
6274	台燿	CCL;低軌衛星;蔡明翰;蜀芳
6278	台表科	璞玉;蜀芳
6282	康舒	電力重電
6285	啟碁	低軌衛星
6291	沛亨	蜀芳
6412	群電	電力重電
6414	樺漢	謝金河
6442	光聖	COUPE;_留意賣;低軌衛星;再鑽;矽光子;蔡明翰
6451	訊芯-KY	COUPE;矽光子
6510	精測	再鑽;探針卡;矽光子
6515	穎崴	_留意賣;再鑽;探針卡
6526	達發	矽光子
6531	愛普*	燕俐2
6640	均華	台積電大聯盟;燕俐2;謝金河
6643	M31	燕俐2
6664	群翊	台積電大聯盟
6669	緯穎	再鑽;燕俐2
6672	騰輝電子-KY	蜀芳
6683	雍智科技	探針卡
6691	洋基工程	台積電大聯盟;璞玉
6693	廣閎科	電力重電
6789	采鈺	COUPE;台積電大聯盟;璞玉;謝金河
6805	富世達	散熱;燕俐2;蜀芳
6862	三集瑞-KY	被動元件及石英
6940	格斯科技*	_留意賣;電力重電
7711	永擎	蜀芳
7717	萊德光電-KY	低軌衛星
7728	光焱科技	_留意賣
7734	印能科技	謝金河
7769	鴻勁	燕俐2;蔡明翰;謝金河
7792	安葆	台積電大聯盟;謝金河
7828	創新服務	探針卡
7856	漢測	探針卡
7899	景美	探針卡
8021	尖點	探針卡;燕俐2
8027	鈦昇	燕俐2
8028	昇陽半導體	再鑽;蜀芳;謝金河
8043	蜜望實	被動元件及石英
8046	南電	ABF載板;杜金龍;蜀芳
8070	長華*	蜀芳
8155	博智	ABF載板;燕俐2;蜀芳
8289	泰藝	被動元件及石英
8299	群聯	燕俐2
8358	金居	ABF載板;燕俐2
8996	高力	散熱;蜀芳
009816	凱基台灣TOP50	ETF
009820	元大納斯達克精選	ETF
009823	群益S&P500	ETF
009824	群益美國科技巨頭	ETF
00631L	元大台灣50正2	ETF
00679B	元大美債20年	ETF
00685L	群益臺灣加權正2	ETF;陳重銘
00687B	國泰20年美債	ETF
00937B	群益ESG投等債20+	ETF
00942B	台新美A公司債20+	ETF
00953B	群益優選非投等債	ETF
00981A	主動統一台股增長	ETF
00987A	主動台新優勢成長	ETF
00991A	主動復華未來50	ETF
